code_name,Project
588,PLANKTON ECOLOGY PROJECT
570,PNEC (NATIONAL PROGRAMME OF COASTAL ECOLOGY) 
573,PNOC (NATIONAL PROGRAMME OF COASTAL OCEANOGRAPHY)
571,PNTS (PROGRAMME NATIONAL DE TELEDETECTION SPATIALE)
396,POD (1963 - 1996)
344,POFI (PACIFIC OCEAN FISH & INVERTS)
503,POMME (PROGRAMME OCEAN MULTIDISCIPLINAIRE MESO ECHELLE)
327,PREFIL (FRENCH)
399,PRIME (PLANKTON REACTIVITY IN THE MARINE ENVIRONMENT)
537,PRIMO
98,PRINCE WILLIAM SOUND PROJECT 
359,PRISMA
104,PROBES
535,PROGRAMME NATIONAL D'ECOLOGI 
574,PROJET DE RENOVATION DU SUROIT
334,PROPPAC (FRENCH)
595,RAPID CLIMATE CHANGE PROGRAMME (RAPID)
300,RESEARCH OF THE DEEP SEA POLYMETAL SULPHIDE (HYDROTHERMAL ORE FIELDS)
406,RESEARCH ON OCEAN ATMOSPHERE VARIABILITY & ECOSYSTEM RESPONSE IN ROSS SEA
339,REUNION
599,RIO DE LA PLATA PLUME EXPERIMENT
376,ROUTINE FISHERIES MONITORING/ASSESSMENT ACTIVITIES (NOAA/NMFS PROJECT)
216,SAVE (SOUTH ATLANTIC VENTILATION EXP.)
402,SCICEX (SCIENTIFIC ICE EXPEDITIONS)
77,SCOPE
52,SEAGRANT
302,SECTIONS
368,SECTIONS - NORTH ATLANTIC CURRENTS (NAC)
375,SECTIONS - TROPICAL ENERGOACTIVITY POLYGON IN ATLANTIC (TEP) 
245,SEFCAR
576,SEFOS (SHELF EDGE FISHERIES AND OCEANOGRAPHIC STUDIES)
132,SEQUAL (NSF/SEASONAL EQUATORIAL ATLANTIC EXPERIMENT) 
461,SHELF & BOTTOM WATER FORMATION NEAR EAST ANTARCTIC POLYNYAS & GLACIERS
328,SIBEX (SECOND INTERNATIONAL BIOMASS EXPERIMENT - FR) 
370,SIMBIOS
330,SINODE (FRENCH)
319,SIZEX
358,SKAGEX
322,SKIPJACK
506,SODA (SIMPLE OCEAN DATA ASSIMILATION)
533,SOFIA
525,SOUTH CHINA SEA MONSOON EXPERIMENT
121,SOUTHEAST AREA MONITORING AND ASSESSMENT PROGRAM (SEAMAP)
586,SOUTHERN ELEPHANT SEALS OCEANOGRAPHIC SAMPLERS (SEAOS)
458,SOVIET ANTARCTIC EXPEDITION (SAE)
448,SPANISH ANTARCTIC RESEARCH PROGRAM
628,SPANISH SYSTEM  OF OPERATIONAL OCEANOGRAPHY (ESEOO)
477,SPECIAL RESEARCH RANGE 460 DYNAMICS THERMOHALINER CIRCULATION FLUC (SFB460)
609,STATE SUPPORT OF HIGHER EDUCATION AND FUNDAMENTAL SCIENCE INTEGRATION
508,STELLER SEA LION RESEARCH
397,SUBARCTIC GYRE EXPERIMENT IN NORTH PACIFIC OCEAN (1997 - 2001) (SAGE)
251,SUBDUCTION EXPERIMENT
116,SUBTROPICAL ATLANTIC CLIMATE STUDY (STACS)
194,SUPER(SUB ARCTIC PACIFIC ECOSYSTEM RESEARCH) 
331,SURTROPAC (SURFACE TROPICAL PACIFIC - FR)
232,SYNOPTIC OCEAN PREDICTION (SYNOP)
175,TAG(TRANS-ATLANTIC GEOTRAVERSE)
624,TECHNICAL COOPERATION FISHING PROGRAM (UE-VECEP)
168,TOGA (TROPICAL OCEAN GLOBAL ATMOSPHERE)
332,TOPOGULF (FRENCH)
