code_name,Project
386,MARATHON
447,MARINE FOOD CHAIN RESEARCH GROUP
51,MARMAP  (MARine Resource Monitoring Assessment Prediction program)
419,MARNET
34,MAZATLAN
478,MECHANISMS CONTROLLING HYPOXIA ON THE LOUSIANA SHELF (HYPOX) 
299,MEDAR/MEDATLAS (MEDITERRANEAN DATA ARCHAEOLOGY AND RESCUE)
257,MEDITERRANEAN EDDY EXPERIMENT (MEDDY)
252,MEDOC
433,MERRP (MARINE ECOLOGICAL RESEARCH PROGRAM) (STATE OF CAL SEA GRANT)
65,MESA NY BIGHT
82,MESA PUGET SOUND/PSERP
504,MFSTEP (MEDITERRANEAN FORECASTING SYSTEM: TOWARD ENVIRONMENTAL PREDICTION)
38,MGS
230,MICROBIAL EXCHANGES AND COUPLING IN COASTAL ATLANTIC SYSTEMS (MECCAS)
23,MILOC
126,MIZEX (MARGINAL SEA ICE ZONE EXPERIMENT)
390,MIZEX-83
391,MIZEX-84
392,MIZEX-87
317,MIZLANT
306,MMS DESOTO CANYON EDDY INTRUSION STUDY
199,MMS FLORIDA STRAITS PHYSICAL OCEANOGRAPHY
136,MMS GOM CONT. SLOPE ECOSYSTEM
165,MMS GOM E. GULF ICHTHYOPLANKTON
139,MMS GOM E.GULF BENCHMARK STUDIES 77
140,MMS GOM ENDANGERED SPECIES
152,MMS GOM HYDROCARB. QUALITY CONTROL
137,MMS GOM MAFLA OCS EPIFAUNA HYDROCARBONS
144,MMS GOM NOAA/NDBO COOP. DRIFTING BUOY
145,MMS GOM NOAA/NMFS SOOP
161,MMS GOM S. TEXAS OCS FISHERIES
160,MMS GOM SW FLA SHELF BENTHIC COMMUNITIES
157,MMS GOM SW FLA SHELF HYDROGRAPHY
159,MMS GOM SW FLA SHELF REG. COMMUNITIES
153,MMS GOM TRACE METAL QUALITY CONTROL
214,MMS LA/TX GULF OF MEXICO EDDY CIRCULATION STUDY (LATEX PART C)
188,MMS LA/TX MARINE ECOSYSTEMS
213,MMS LA/TX MISSISSIPPI RIVER PLUME HYDROGRAPHY STUDY (LATEX PART B)
189,MMS LA/TX PHYSICAL OCEANOGRAPHY
212,MMS LA/TX TEXAS-LOUISIANA SHELF CIRCULATION AND TRANSPORT PROCESSES STUDY
187,MMS MISS/ALA MARINE ECOSYSTEMS
205,MMS N. CAL. COASTAL CIRCULATION STUDY
215,MMS TIGER(TEXAS INSTITUTIONS GULF ECOSYSTEM RESEARCH PROGRAM)
186,MMS WETLANDS LOSS
170,MMS-FLORIDA ATLANTIC COASTAL TRANSPORT STUDY(FACTS)
166,MMS/BEAUFORT SEA MONITORING PROGRAM
195,MMS/CALIFORNIA OCS MONITORING PROGRAM
182,MMS/CENTRAL CALIFORNIA CIRCULATION STUDY
413,MMS/DEEP WATER PGM: NORTHERN GULF OF MEXICO CONTINENTAL SHELF/SLOPE HABITAT
197,MMS/EAST BREAKS SOOP 
193,MMS/FRED(NC FRONTAL EDDY DYNAMICS EXP.)
130,MMS/GOM N. CONT. SLOPE STUDY 
125,MMS/GOM PHYSICAL OCEANOGRAPHY
207,MMS/LIVING MARINE RESOURCES STUDY
211,MMS/LONG TERM MONITORING EAST/WEST FLOWER GARDEN BANKS
179,MMS/MID-ATLANTIC SHELF
181,MMS/NEW ENGLAND SHELF AND SLOPE PROGRAM
412,MMS/NORTHEAST GULF OF MEXICO PHYS OCEANOGRAPHIC PROGRAM (NEGOM)
208,MMS/PHYSICAL OCEAN FIELD PROG OFFSHORE N.CAROLINA
117,MMS/REEF FISH POPULATIONS
127,MMS/SANTA BARBARA CHANNEL
423,MMS/SEDIMENT QUALITY IN DEPOSITIONAL AREAS OF SHELIKOF ...
440,MMS/SPERM WHALES
131,MMS/SW FLORIDA BENTHOS STUDY 
349,MOCE (MARINE OPTICS CALIBRATION EXPERIMENT)
198,MONSOON & SEA-AIR INTERACTION
352,MOVEN
283,MOVEN I
298,MS GOM OFFSHORE OPERATIONS MONITORING EXP(GOOMEX)
476,NANSEN AND AMUNDSEN BASINS OBSERVATIONAL SYSTEM (NABOS)
196,NATIONAL STATUS & TRENDS
36,NAVOCEANO INSHORE SURVEYS
11,NEMP
347,NET (NIMBUS EXPERIMENT TEAM) 
118,NMFS/CURVE
